		P30040
		O15145
		P26641
		Q14974
		P61026
		P45880
		P30048
		P49588
		P99999
		P13501
		P60842
		P13073
		Q9NYL9
		P38606
		Q709C8
		P61006
		Q14554
		Q00325
		Q8TC12
		H7BY58
		P00747
		P62873
		P16152
		Q86VP6
		P27338
		P41240
		Q9Y2Q3
		O95782
		P08758
		Q96G03
		P54577
		O00410
		P49407
		Q9UKE5
		P63167
		P51692
		O43149
		Q9H3U1
		E7EX73
		Q16891
		O60234
		P35813
		P25786
		Q9NZQ3
		P62136
		Q07960
		P35606
		P31946
		P40763
		P40227
		Q8NE86
		P42566
		Q9ULH1
		Q86WI1
		Q96RL7
		O14818
		P60900
		Q9UIB8
		P50991
		P10124
		P11586
		Q93052
		P60981
		P43405
		P02647
		O95870
		Q9Y6D6
		P30153
		P54819
		P30085
		P13489
		Q00013
		Q99832
		P61088
		P41250
		O43516
		H0YI08
		Q13011
		Q01469
		P35237
		Q9C0I1
		Q9UBC2
		P37837
		P38117
		O95336
		B5MDF5
		O75915
		P07948
		P51148
		P14868
		B7Z3I9
		Q9UNF0
		P11234
		O75874
		P46109
		Q684P5
		G3V394
		P49411
		Q6PJW8
		P55160
		Q9H2K8
		P50148
		P00915
		B4DT77
		P31939
		Q9UHB6
		P22694
		Q16531
		Q5T9B7
		E7EUC7
		Q9Y678
		P30622
		P07339
		P10599
		Q9BQE3
		P50416
		Q13177
		P28838
		P19971
		Q13162
		H7BYY1
		Q8NF50
		P26447
		Q05193
		Q16762
		Q93008
		Q99714
		P07741
		Q7L7X3
		P01009
		Q9Y2Q0
		P15170
		Q9BUL8
		F5H1N7
		A0FGR8
		C9JAI6
		Q13976
		Q6IAA8
		F8W7Q4
		Q16698
		P08603
		O75396
		O75791
		P78344
		Q9BV40
		Q9NS28
		O00264
		P0DMN0
		P0DMM9
		P62820
		Q13464
		P30046
		Q9NQW7
		B4DJV2
		P49748
		Q4KMQ2
		O14974
		F5GY37
		P00390
		P49773
		Q5SQ64
		Q9Y6E0
		Q96K76
		Q5VTE0
		Q9UNF1
		P16885
		O75563
		P24539
		P14174
		P17252
		O43815
		P23368
		Q9UFN0
		Q14344
		Q9Y2A7
		P48047
		P20618
		Q8IY22
		Q8WUD1
		O14745
		O75947
		P22695
		Q14571
		Q96KP4
		Q96QK1
		Q9BR76
		Q05397
		Q9Y624
		O43399
		P17858
		P40925
		P50402
		S4R3N1
		O60763
		P42858
		Q06323
		Q5H9A7
		Q96BY6
		O60493
		P48147
		Q02218
		B6VEX4
		Q9H8S9
		Q9HCM2
		P00492
		Q14BN4
		E5RJD8
		P26639
		Q96FW1
		O00534
		O43396
		Q8NBF2
		K7ELL7
		P00367
		O15327
		P35232
		P31323
		O43639
		Q9NZ08
		P61163
		O75955
		P20936
		Q14254
		Q14112
		P50995
		D6REX3
		Q86UP2
		F5H6E2
		P51572
		Q9UDT6
		P14927
		P13797
		P25788
		P31930
		P36542
		P20340
		O60313
		P0C7P3
		P10619
		O15400
		O14980
		P02042
		P84095
		Q00722
		I3L0N3
		P45974
		Q9Y3P9
		D6RAM3
		B4DKB2
		J3KNB3
		Q00688
		P01859
		P21964
		P35611
		Q8WVM8
		Q6VY07
		P49755
		Q9UNZ2
		Q9H3N1
		Q9P2E9
		P48444
		Q96RT1
		Q9Y4E8
		Q9Y608
		P21399
		P24666
		P68036
		Q14764
		P22234
		P09382
		O15439
		P22307
		Q9UQ80
		O60664
		P28066
		Q9BVK6
		Q9HCN6
		P61970
		Q6WCQ1
		Q15067
		Q6XQN6
		Q9Y5K6
		P50453
		P53801
		P61225
		Q13884
		Q5VY43
		Q9NQT8
		P61769
		P09104
		P15153
		Q86UY0
		P10768
		P42574
		O15231
		P14317
		Q99460
		P09669
		Q02978
		Q15819
		Q15126
		E9PGC8
		P20338
		P54136
		Q14432
		P09622
		Q9BX10
		Q9HB71
		G3XAH0
		Q5W0H4
		E9PCN2
		Q6P3W7
		P39656
		Q9BSF0
		Q5T5C7
		Q06124
		P25787
		Q86UT6
		F8VPD4
		P04844
		Q16543
		Q13867
		P30043
		Q96AP7
		P11940
		P08590
		Q15056
		Q9HBH0
		B1AMS2
		P37235
		P12236
		P28062
		Q15369
		P47897
		Q14C86
		P05023
		P50502
		Q13200
		O43306
		P04004
		A0A0B4J2D5
		P0DPI2
		Q15762
		P55957
		Q9BXS5
		Q99683
		Q9UEY8
		O95721
		P28482
		P54578
		P63010
		O14579
		O43488
		P48507
		Q9NZN5
		O60749
		P29218
		Q02108
		P43034
		Q4V328
		P61604
		Q96T51
		O95674
		P31040
		Q04446
		Q9BS26
		P10301
		E9PF18
		Q8N5K1
		Q9BW04
		J3KQ32
		P13804
		P30084
		Q13459
		Q15642
		Q9H7D0
		Q9NP72
		P13639
		P02549
		P12429
		Q8TDZ2
		Q8WXE9
		Q9UIJ7
		J3QRU4
		O60496
		P53634
		Q96IU4
		Q9BZF9
		Q9NQR4
		Q96HN2
		O95197
		Q8IZ83
		O60488
		Q96CN7
		J3QRU8
		O95373
		P62879
		P98194
		Q16799
		Q9NVJ2
		Q99805
		Q9UL25
		P10606
		P49593
		P62834
		P42224
		Q9Y6N5
		Q9UHQ9
		O15031
		P01127
		P05121
		P29692
		Q9UKG1
		Q9BWM7
